"filename", "language", "YAML", "JSON", "Markdown", "TypeScript JSX", "TypeScript", "XML", "Prisma", "PostCSS", "comment", "blank", "total"
"d:\Информатика\online-shop\back-end\src\libs\mail\mail.module.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 3, 17
"d:\Информатика\online-shop\back-end\src\libs\mail\mail.service.ts", "TypeScript", 0, 0, 0, 0, 35, 0, 0, 0, 0, 10, 45
"d:\Информатика\online-shop\back-end\src\libs\mail\templates\confirmation.template.tsx", "TypeScript JSX", 0, 0, 0, 23, 0, 0, 0, 0, 0, 3, 26
"d:\Информатика\online-shop\back-end\src\libs\mail\templates\reset-password.template.tsx", "TypeScript JSX", 0, 0, 0, 32, 0, 0, 0, 0, 0, 3, 35
"d:\Информатика\online-shop\back-end\src\libs\mail\templates\two-factor-auth.template.tsx", "TypeScript JSX", 0, 0, 0, 29, 0, 0, 0, 0, 0, 2, 31
"d:\Информатика\online-shop\back-end\src\main.ts", "TypeScript", 0, 0, 0, 0, 49, 0, 0, 0, 0, 9, 58
"d:\Информатика\online-shop\back-end\src\meilisearch\meilisearch.controller.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Информатика\online-shop\back-end\src\meilisearch\meilisearch.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"d:\Информатика\online-shop\back-end\src\meilisearch\meilisearch.service.ts", "TypeScript", 0, 0, 0, 0, 106, 0, 0, 0, 0, 21, 127
"d:\Информатика\online-shop\back-end\src\order\dto\create-order.dto.ts", "TypeScript", 0, 0, 0, 0, 42, 0, 0, 0, 0, 10, 52
"d:\Информатика\online-shop\back-end\src\order\dto\order-query.dto.ts", "TypeScript", 0, 0, 0, 0, 13, 0, 0, 0, 0, 4, 17
"d:\Информатика\online-shop\back-end\src\order\dto\update-order-status.dto.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Информатика\online-shop\back-end\src\order\order.controller.ts", "TypeScript", 0, 0, 0, 0, 65, 0, 0, 0, 0, 11, 76
"d:\Информатика\online-shop\back-end\src\order\order.module.ts", "TypeScript", 0, 0, 0, 0, 20, 0, 0, 0, 0, 4, 24
"d:\Информатика\online-shop\back-end\src\order\order.service.ts", "TypeScript", 0, 0, 0, 0, 351, 0, 0, 0, 0, 42, 393
"d:\Информатика\online-shop\back-end\src\prisma\prisma.controller.ts", "TypeScript", 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
"d:\Информатика\online-shop\back-end\src\prisma\prisma.module.ts", "TypeScript", 0, 0, 0, 0, 9, 0, 0, 0, 0, 2, 11
"d:\Информатика\online-shop\back-end\src\prisma\prisma.service.ts", "TypeScript", 0, 0, 0, 0, 14, 0, 0, 0, 0, 4, 18
"d:\Информатика\online-shop\back-end\src\product\dto\create-product.dto.ts", "TypeScript", 0, 0, 0, 0, 91, 0, 0, 0, 0, 24, 115
"d:\Информатика\online-shop\back-end\src\product\dto\product-query.dto.ts", "TypeScript", 0, 0, 0, 0, 47, 0, 0, 0, 0, 10, 57
"d:\Информатика\online-shop\back-end\src\product\dto\update-product.dto.ts", "TypeScript", 0, 0, 0, 0, 3, 0, 0, 0, 0, 3, 6
"d:\Информатика\online-shop\back-end\src\product\product.controller.ts", "TypeScript", 0, 0, 0, 0, 78, 0, 0, 0, 2, 13, 93
"d:\Информатика\online-shop\back-end\src\product\product.module.ts", "TypeScript", 0, 0, 0, 0, 16, 0, 0, 0, 0, 4, 20
"d:\Информатика\online-shop\back-end\src\product\product.service.ts", "TypeScript", 0, 0, 0, 0, 602, 0, 0, 0, 0, 101, 703
